date,gap,toclose,tohigh,tolow
2015-04-23,0.053530226119058444,0.1045223811721272,0.11075219197046593,0.053299492385786795
2015-01-26,-0.08636460327589868,-0.09253350350989153,-0.08104658583280144,-0.10423314188470534
2014-10-23,0.04020435362061292,0.02465570857396715,0.0417592181252775,0.0035539760106617635
2014-07-31,0.0011584800741428758,-0.0069508804448562556,0.002085264133456999,-0.012974976830398388
2014-04-24,0.010787757150025001,0.0012543903662818323,0.02057200200702458,-0.0027596588058204086
2014-01-23,0.03854686633388793,0.02079866888519133,0.041320022185246774,0.013033832501386566
2013-10-24,0.06405693950177938,0.059608540925266906,0.07621589561091335,0.0518979833926454
2013-07-30,0.003767660910517945,-0.0003139717425432176,0.006279434850863241,-0.00439560439560438
2013-04-18,0.028829454671761123,0.03403959708232018,0.05036470996873921,0.028482111844390534
2013-01-24,-0.0018096272167933414,0.009048136083966707,0.021715526601520097,-0.008686210640607928
2012-10-18,-0.015254237288135575,-0.02915254237288134,-0.014237288135593329,-0.03389830508474578
2012-07-26,0.010973936899862924,0.020576131687242816,0.02366255144032925,0.000685871056241405
2012-04-19,0.03676233473073198,0.04546920348274752,0.06062560464366329,0.03353756852628176
2012-01-19,0.024893314366998487,0.056543385490753995,0.057610241820768016,0.02240398293029866
2011-10-20,0.004068047337278058,0.004437869822485174,0.005547337278106523,-0.008875739644970349
2011-07-28,-0.00721500721500723,-0.011544011544011523,-0.0003607503607503393,-0.016594516594516495
2011-04-28,-0.005990265818045626,-0.029576937476600507,-0.0026207412953950238,-0.050542867839760475
2011-01-27,0.0010391409767924742,-0.03879459646692074,0.0020782819535849484,-0.049186006234845925
2010-10-28,0.0331050228310501,0.014840182648401923,0.035007610350076046,0.007610350076103556
2010-07-30,0.006974041069352843,0.020147229755908658,0.022084463386284447,-0.0023246803564509477
2010-04-22,-0.008601465434851852,-0.013698630136986245,0.006052883083784488,-0.02357438674737189
2010-01-28,0.02537722908093265,-0.033607681755829955,0.026063100137174278,-0.05144032921810704
2009-10-23,0.003925767309064909,0.023554603854389677,0.035688793718772205,0.0032119914346895317
2009-07-30,-0.0016799664006719173,-0.0121797564048719,0.010919781604368017,-0.013019739605207858
2009-04-23,0.04756871035940802,0.10517970401691312,0.12050739957716683,0.030655391120507414
2009-01-22,-0.008182349503214503,0.005260081823495133,0.022209234365867747,-0.021040327293980088
2008-10-23,-0.05645161290322587,-0.016129032258064502,0.024193548387096753,-0.06137992831541228
2008-07-31,0.007776049766718529,-0.010886469673405785,0.008942457231726264,-0.02527216174183511
2008-04-24,-0.055031446540880546,-0.06194968553459124,-0.04433962264150948,-0.0691823899371069
2008-01-24,0.049624060150375904,-0.009323308270676733,0.05263157894736836,-0.011428571428571455
2007-10-25,0.12566427008440129,0.09502969678024398,0.1262894654579556,0.08033760550171931
2007-08-03,0.003107734806629736,0.0200276243093922,0.0200276243093922,-0.007251381215469643
2007-04-26,0.03676975945017191,0.03505154639175245,0.056357388316151,0.030927835051546282
2007-01-25,0.025287356321838983,0.0049261083743843415,0.025615763546798176,0.0049261083743843415
2006-10-26,0.004938271604938205,-0.0003527336860670305,0.015520282186948675,-0.003527336860670194
2006-08-25,-0.0003868471953578645,0.003868471953578201,0.005802707930367523,-0.006189555125725388
2006-04-27,-0.11082568807339443,-0.11376146788990826,-0.1009174311926605,-0.11926605504587151
2006-01-26,0.02754716981132077,0.048679245283018924,0.05471698113207535,0.026037735849056665
2005-10-27,0.010060362173038184,0.027364185110664074,0.030181086519114775,0.010060362173038184
2005-08-26,-0.005932517612161625,0.006674082313681939,0.009640341119762752,-0.005932517612161625
2005-04-28,0.01758691206543972,0.03476482617586929,0.03476482617586929,0.013905930470347716
2005-01-27,0.016468785905783268,0.002680965147453085,0.020681731137495163,-0.005744925315970817
2004-11-09,0.005038629492778002,-0.0013436345314074005,0.007725898555592803,-0.002687269062814912
2004-09-01,0.00036509675063878255,0.008397225264695107,0.01058780576852869,-0.0014603870025556853
2004-05-03,0.0,-0.0007590132827325347,0.0072106261859581355,-0.012523719165085434
2004-02-06,0.004062038404726742,-0.006646971935007406,0.005539143279172931,-0.008493353028064865
2003-11-13,0.0003892565200467324,-0.007395873880887582,0.01284546516154128,-0.009731413001167755
2003-09-05,0.00035236081747713754,0.01620859760394655,0.019027484143763207,-0.0014094432699083281
2003-05-12,-0.006106870229007688,-0.008015267175572549,0.0,-0.011832061068702271
2003-01-31,0.009903076274757616,0.02317741255794359,0.034555415086388486,0.0
2002-11-14,-0.0068433058431304206,-0.005264081417792665,-0.0012282856641515627,-0.023161958238287372
2002-09-06,-0.011919698870765383,0.018402342116269343,0.02363028021748237,-0.024884985361773304
2002-04-30,-0.0019135093761959432,0.009376195943360255,0.017795637198622316,-0.03061615001913509
2002-02-08,-0.010552349546578688,0.007914262159934182,0.009727947238252321,-0.017477328936520986
2001-10-26,-0.001607717041800627,-0.04115755627009654,0.0,-0.04276527331189717
2001-09-18,0.002577319587628857,-0.008284241531664294,0.006995581737849754,-0.06848306332842413
2001-05-15,-0.008349201699135667,0.013036472828475087,0.0235828328694887,-0.013768858942434403
2001-02-14,0.010706638115631772,0.007494646680942241,0.031049250535331918,-0.008565310492505307
2000-11-14,0.0036330608537693543,0.01816530426884655,0.02997275204359684,-0.0018165304268846771
2000-09-28,-0.0050968399592252744,-0.016309887869520923,0.0,-0.04383282364933738
2000-05-12,0.0027247956403269047,0.008174386920980936,0.009082652134423164,-0.01180744777475018
2000-02-11,0.01297691056910577,-0.0031269543464665928,0.01813633520950586,-0.008755472170106304
